epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.02301475591957569,0.021413283422589302,0.770253905277611,0.9580036912379101,0.845939334721511,0.9726723902540098
2,0.16367924213409424,0.019855622202157974,0.8277233190017246,0.9724839273801267,0.8455960960827187,0.9735318304999332
3,0.045059286057949066,0.0451786071062088,0.8368366111084855,0.9755726408806705,0.8655629867757756,0.9665222142952957
4,0.007436293177306652,0.023674223572015762,0.8408680328037045,0.9778563716173682,0.6768573859614897,0.977602817242082
5,0.018596217036247253,0.05811937525868416,0.8422015706447182,0.9785888519822354,0.8250321201044526,0.9803967459547981
6,0.06359456479549408,0.048998378217220306,0.8440483645881882,0.9796849132192217,0.7745612549603079,0.9755825206327484
7,0.019048869609832764,0.01590048335492611,0.8453119505488712,0.9811767554134586,0.8634828236425653,0.9790692018904572
8,0.02763768471777439,0.032759010791778564,0.8500990597443647,0.9821821602121819,0.8040295911086174,0.9799705949499367
9,0.04452121630311012,0.01444930024445057,0.8538433869099907,0.9828296373848209,0.8510058862351461,0.9792107895915981
10,0.017446909099817276,0.06782402098178864,0.8553231774077555,0.9832834792181957,0.8306621474672519,0.9808095709890777
11,0.00834838766604662,0.031078752130270004,0.860186333099499,0.9835881950234243,0.8116631577367569,0.9799653600981066
12,0.014406506903469563,0.008827258832752705,0.864356550341879,0.9841425037441597,0.8510433230527167,0.9821909681157185
13,0.03643159568309784,0.06984475255012512,0.869205718057208,0.9849183230087667,0.8249156267124712,0.9806946494520186
14,0.012693284079432487,0.01309031993150711,0.8713324235207419,0.9853316563583103,0.8396721943378672,0.9814498201707225
15,0.0286712646484375,0.10004012286663055,0.8739527925144726,0.985873933438719,0.8524038083264177,0.9828398979559115
16,0.016373194754123688,0.016700435429811478,0.8781336863957024,0.9861387770302832,0.8625557157151196,0.9794977184518613
17,0.010402251034975052,0.030875887721776962,0.8831281361560904,0.987356386902742,0.8684720420615875,0.9809925460623334
18,0.01362646371126175,0.02149336040019989,0.8851042301100538,0.9870725069061251,0.8279858093673588,0.9805453500208512
19,0.01212436705827713,0.07541970908641815,0.8892830916210201,0.9878853359226502,0.865258573878342,0.9805887643200203
20,0.018144898116588593,0.008546965196728706,0.8930253955775961,0.9887124924692551,0.8443640513498637,0.9805780603211074
21,0.02244158834218979,0.26584768295288086,0.8958197249012496,0.9892318586557552,0.8280149793866074,0.9809691701269939
22,0.034073203802108765,0.026752963662147522,0.897367563317126,0.9894482972092352,0.8661106164369613,0.980428846314125
23,0.02159477025270462,0.023336580023169518,0.9017248879806106,0.989728383795313,0.8735544114817109,0.9806459409958824
24,0.013625191524624825,0.0170200914144516,0.9027974536717293,0.9899321672640203,0.870622101773619,0.9818792331471754
