epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.4234157204627991,0.12785185873508453,0.834226624325932,0.9606578934972008,0.8470713035322012,0.9639015825561505
2,0.11435379087924957,0.06539750099182129,0.8705851510004641,0.9743106413650412,0.8771338039260844,0.9746103643141519
3,0.10767091810703278,0.11572958528995514,0.8789069314040538,0.9775786335674737,0.890200255602761,0.9793549668082502
4,0.07598405331373215,0.1585710495710373,0.8896097095564408,0.9809778870182768,0.8833845888340804,0.9773839269940874
5,0.04880177229642868,0.09717445075511932,0.8943264418298873,0.9830409917514077,0.8928535360564815,0.9799189258488391
6,0.10453354567289352,0.16400134563446045,0.901041096561967,0.9850969558021258,0.8956521159428901,0.9807721040754571
7,0.08872749656438828,0.09297911077737808,0.9062536051740299,0.9865462106831938,0.8915635838549382,0.9801023959359921
8,0.1221102923154831,0.08006349205970764,0.9115578510947537,0.9882370093715218,0.8851385652023073,0.9794764664459548
9,0.07488056272268295,0.10562875121831894,0.9167489483645869,0.9897623454641041,0.8958262346975012,0.9811007646775302
10,0.10827667266130447,0.21559566259384155,0.9191227175343271,0.9905091164112667,0.8965816000839889,0.9809544003834866
11,0.11167123168706894,0.19099652767181396,0.9229026981946334,0.9915288167260645,0.8857425380110003,0.9778179522265344
12,0.04151016101241112,0.16828188300132751,0.9283254943682367,0.9927041781238708,0.894458573030348,0.9796614883417503
13,0.04025169089436531,0.22212596237659454,0.9319068873203368,0.9934042023446092,0.8905765745647561,0.9771613989343658
14,0.04486522823572159,0.38130924105644226,0.9327566602307634,0.9937817980365516,0.8934804783714213,0.9800950596466541
15,0.04638104513287544,0.05319510027766228,0.9353317557343884,0.9942704218663446,0.898931612003773,0.9809229850844073
16,0.052449725568294525,0.06831714510917664,0.9387284833946313,0.9948578103708855,0.8987441495006803,0.9804996714508919
17,0.042441971600055695,0.09244261682033539,0.9419855457818211,0.9954184689841086,0.8993120833151993,0.9805348956079495
18,0.05274736508727074,0.04398176819086075,0.9415634240397734,0.9954195739255708,0.9013894055463364,0.9794737089562987
19,0.09624112397432327,0.054890502244234085,0.9437282727924439,0.9957649308297796,0.9016379173990686,0.9800497000700756
20,0.07258731126785278,0.0778607726097107,0.9492973176167174,0.9965843063212064,0.9018442885179381,0.9805257896106296
21,0.2519647181034088,0.13195735216140747,0.9470846690685559,0.9963416624228804,0.8999333461024696,0.979665841122886
22,0.026936324313282967,0.04996520280838013,0.9512446911005329,0.99687938617266,0.8996278264222476,0.979942879869322
23,0.02969057857990265,0.07046496868133545,0.9504923553186204,0.9968265939811938,0.9022195858830335,0.9792170324950606
24,0.05350324511528015,0.06799506396055222,0.9552445218734176,0.9973732705243961,0.896886338337699,0.9793175523725102
25,0.039130888879299164,0.10150614380836487,0.9488395500759353,0.9966295551404206,0.9006465055409238,0.9793340233155482
26,0.040791332721710205,0.13206884264945984,0.9572203918394173,0.9976087768524989,0.9001683694378828,0.9778828894553575
27,0.05680931732058525,0.056130118668079376,0.9589523192810051,0.9978021715328294,0.900817582588315,0.9776448667560595
28,0.07225703448057175,0.08013055473566055,0.9547843410415059,0.9972629557074657,0.8992726360969658,0.9792524855908984
29,0.04772140830755234,0.04463285207748413,0.9611474641437906,0.9980420674694985,0.9019951421156248,0.9786392072432416
30,0.04469076916575432,0.5667810440063477,0.956299006832727,0.9974860327190835,0.9002831719075006,0.9787283657373761
31,0.02477174997329712,0.09491375088691711,0.9625239956840579,0.9981671845586483,0.9042524498726693,0.9800215667381451
32,0.030327018350362778,0.06897549331188202,0.9634882376797884,0.9982455043494833,0.9023965559180682,0.9800303597689517
33,0.023872612044215202,0.04259573668241501,0.9622922023639581,0.9980821877731958,0.9023730151136872,0.9797151839395821
34,0.036239251494407654,0.21926721930503845,0.9658325905709528,0.9984524915389927,0.9017255301345172,0.979120280498378
35,0.039193786680698395,0.051293957978487015,0.9672931696082668,0.9985767293373344,0.9002519660801618,0.9793128091008941
36,0.025082526728510857,0.24480953812599182,0.9637667634403009,0.9982219913405461,0.901567153560295,0.9794655524208178
37,0.02466021664440632,0.04061732441186905,0.9687884116079247,0.9986643454379827,0.9032647739302256,0.9784565283496419
38,0.017872445285320282,0.10529632121324539,0.9700690882700861,0.9987714788630587,0.9028283180472915,0.9793923149713479
39,0.049532223492860794,0.6920851469039917,0.9695290315323579,0.9987279714742516,0.9039964965133511,0.9791378278116029
